# map seed opt_first repeats opt_success con_success opt_deterministic con_deterministic opt_run_time con_run_time opt_wall_mean con_wall_mean opt_cpu_time con_cpu_time opt_cpu_mean con_cpu_mean opt_iterations con_iterations opt_nodes con_nodes opt_nn_checks con_nn_checks opt_connection_checks con_connection_checks opt_collision_checks con_collision_checks opt_tree_mem con_tree_mem opt_path_mem con_path_mem
map_0 42 1 5 5 5 1 1 0.003481291 0.0025245 0.0034835834 0.0025251502 0.003481 0.002524 0.003482 0.002524 17961 5281 3177 2023 224294 2806545 8 1023128 202753 5281 23.5126953125 9.8779296875 0.240234375 1.669921875
map_1 42 0 5 5 5 1 1 0.00230825 0.0013775 0.0023067668 0.0013777502 0.002306 0.001376 0.0023036 0.0013758 11893 3701 1373 1505 123772 1470017 31 565898 142910 3701 14.7041015625 7.3486328125 0.2373046875 1.587890625
map_2 42 1 5 5 5 1 1 0.00204075 0.000305292 0.0020512334 0.0003060334 0.002041 0.000305 0.0020506 0.0003052 10964 1438 1579 750 109206 273233 3 140616 113615 1438 15.7099609375 3.662109375 0.2373046875 1.4267578125
map_3 42 0 5 5 5 1 1 0.00196925 0.000999916 0.00197865 0.0010005332 0.001967 0.000997 0.0019758 0.000998 10508 2859 2123 1349 106160 1001492 43 454565 129567 2859 18.3662109375 6.5869140625 0.3017578125 1.4794921875
map_4 42 1 5 5 5 1 1 0.003282417 0.001684 0.0032909334 0.0016849084 0.003282 0.001683 0.0032884 0.0016834 16926 5205 3049 1514 194436 1899568 123 572552 202231 5205 22.8876953125 7.392578125 0.2490234375 1.51171875
map_5 42 0 5 5 5 1 1 0.003039125 0.002427291 0.0030430082 0.0024286412 0.003036 0.002425 0.0030412 0.0024268 15728 35265 2300 1228 275570 2362366 30 376655 171984 35265 19.23046875 5.99609375 0.2255859375 1.3095703125
map_6 42 1 5 5 5 1 1 0.002797291 0.001313625 0.0028134664 0.0013141916 0.002796 0.001312 0.0028128 0.0013118 14833 4424 3237 1481 146764 1362434 180 547910 192686 4424 23.8056640625 7.2314453125 0.2841796875 1.4765625
map_7 42 0 5 5 5 1 1 0.002659292 0.002820417 0.0026736086 0.0028193334 0.002659 0.002819 0.0026726 0.0028168 14302 16126 3513 1901 171645 3039133 257 902640 158498 16125 25.1533203125 9.2822265625 0.28125 1.3125
map_8 42 1 5 5 5 1 1 0.002390917 0.008067583 0.0023969168 0.0080658582 0.00239 0.008067 0.0023942 0.0080648 12491 10369 1874 3647 116854 9294456 103 3323717 158075 10369 17.150390625 17.8076171875 0.2490234375 1.5556640625
map_9 42 0 5 5 5 1 1 0.002888709 0.002450875 0.0028872 0.0024531418 0.002888 0.00245 0.0028854 0.0024508 15172 5613 2085 1910 177547 2779704 227 911266 178229 5613 18.1806640625 9.326171875 0.2607421875 1.5087890625
map_0 43 0 5 5 5 1 1 0.002731416 0.008544084 0.0027423168 0.0085293584 0.002731 0.00854 0.0027402 0.0085266 14746 9117 2564 3901 134214 9564112 107 3803511 168383 9117 20.51953125 19.0478515625 0.275390625 1.798828125
map_1 43 1 5 5 5 1 1 0.003301167 0.001386459 0.0033173166 0.0013911836 0.0033 0.001386 0.0033156 0.0013894 17553 3738 4186 1452 142311 1530338 220 526632 217448 3738 28.439453125 7.08984375 0.28125 1.576171875
map_2 43 0 5 5 5 1 1 0.0036095 0.001574583 0.00362555 0.0015764752 0.003606 0.001572 0.0036232 0.0015742 19213 3887 2384 1625 182399 1685277 353 659549 234046 3887 19.640625 7.9345703125 0.251953125 1.60546875
map_3 43 1 5 5 5 1 1 0.001849458 0.000963625 0.0018450334 0.0009646168 0.001847 0.000963 0.001843 0.000963 9504 2739 1240 1274 112882 1007753 69 405389 113806 2739 14.0546875 6.220703125 0.2109375 1.4560546875
map_4 43 0 5 5 5 1 1 0.002587167 0.004415125 0.002606492 0.004415292 0.002588 0.004415 0.0026056 0.004415 13651 11480 2398 2012 149896 5629955 44 1011676 157577 11480 19.708984375 9.82421875 0.2578125 1.7431640625
map_5 43 1 5 5 5 1 1 0.002304958 0.002801709 0.0023106166 0.0028066084 0.002302 0.002802 0.0023088 0.0028062 11954 7828 1277 2012 192716 3182240 2 1011857 130257 7827 14.2353515625 9.82421875 0.2109375 1.6728515625
map_6 43 0 5 5 5 1 1 0.001689166 0.001985667 0.0016931248 0.0019882584 0.001686 0.001985 0.0016916 0.0019874 8621 4552 993 1853 115527 2121488 92 858080 102692 4551 12.8486328125 9.0478515625 0.205078125 1.693359375
map_7 43 1 5 5 5 1 1 0.002966625 0.004780542 0.0029729168 0.0047852414 0.002965 0.004774 0.0029708 0.004782 15482 6999 3528 2843 162585 5381750 292 2019411 176934 6999 25.2265625 13.8818359375 0.2900390625 1.5703125
map_8 43 0 5 5 5 1 1 0.00147425 0.00892425 0.0014774086 0.0089227416 0.001472 0.008921 0.0014752 0.008921 7595 132257 772 2937 99562 8163367 2 2156352 93212 132257 11.76953125 14.3408203125 0.216796875 2.1357421875
map_9 43 1 5 5 5 1 1 0.003155333 0.00150825 0.0031479582 0.00150965 0.003152 0.001506 0.003144 0.0015078 16181 4011 2808 1596 166041 1597084 53 636365 196515 4011 21.7109375 7.79296875 0.2607421875 1.6728515625
map_0 44 1 5 5 5 1 1 0.003296083 0.0004755 0.003309308 0.000474675 0.003295 0.000473 0.0033072 0.0004738 17734 1649 3766 974 182638 432660 223 236947 191488 1649 26.388671875 4.755859375 0.3134765625 1.39453125
map_1 44 0 5 5 5 1 1 0.003062125 0.000310333 0.0030663166 0.0003111582 0.003061 0.000309 0.003064 0.0003104 16117 1302 2382 752 178025 284370 192 141372 191339 1302 19.630859375 3.671875 0.24609375 1.435546875
map_2 44 1 5 5 5 1 1 0.003658542 0.003967958 0.0036572586 0.0039743914 0.003658 0.003965 0.0036558 0.003972 18828 35024 4743 1969 179185 4279019 404 968945 222874 35024 31.1591796875 9.6142578125 0.2666015625 1.9716796875
map_3 44 0 5 5 5 1 1 0.00289675 0.001015959 0.0029089166 0.0010032 0.002896 0.001016 0.0029074 0.0010018 15376 2968 3568 1179 146516 1061080 155 347195 182666 2968 25.421875 5.7568359375 0.2490234375 1.4326171875
map_4 44 1 5 5 5 1 1 0.002461542 0.000854541 0.00245655 0.000856958 0.002461 0.000855 0.0024548 0.0008562 12770 4239 2691 883 120214 991760 74 194877 157803 4239 21.1396484375 4.3115234375 0.2607421875 1.41796875
map_5 44 0 5 5 5 1 1 0.004081583 0.001145583 0.0040941666 0.0011476834 0.004081 0.001146 0.0040918 0.0011464 21654 3127 2951 1334 319779 1246519 453 444693 232204 3127 22.4091796875 6.513671875 0.2548828125 1.4765625
map_6 44 1 5 5 5 1 1 0.001698875 0.000295292 0.0017063584 0.0002956916 0.001695 0.000295 0.0017038 0.0002952 8851 1327 1343 739 83323 266994 164 136502 107074 1327 14.5576171875 3.6083984375 0.2314453125 1.388671875
map_7 44 0 5 5 5 1 1 0.003613791 0.001377583 0.0036247998 0.0013775748 0.003614 0.001376 0.003623 0.001377 19023 3345 6261 1534 193772 1464628 1005 587677 225574 3345 38.5712890625 7.490234375 0.3134765625 1.3388671875
map_8 44 1 5 5 5 1 1 0.001939208 0.011694125 0.0019527082 0.0116928252 0.001939 0.011691 0.001952 0.0116896 9945 257703 1480 1919 153344 9918204 140 920026 121394 257702 15.2265625 9.3701171875 0.234375 1.6201171875
map_9 44 0 5 5 5 1 1 0.00344525 0.007205125 0.00346165 0.0072059666 0.003441 0.007201 0.0034584 0.007204 18524 11873 4564 3390 154604 8270082 601 2873016 230440 11872 30.28515625 16.552734375 0.2900390625 1.7841796875
map_0 45 0 5 5 5 1 1 0.002937667 0.000426375 0.0029511834 0.000430608 0.002934 0.000426 0.002949 0.0004294 15857 2762 3238 799 166255 397896 127 159564 169384 2762 23.810546875 3.9013671875 0.2490234375 1.4677734375
map_1 45 1 5 5 5 1 1 0.003116791 0.001680375 0.003140733 0.001679875 0.003115 0.001677 0.0031392 0.0016774 16455 6340 2993 1392 193867 1942438 281 483932 197459 6340 22.6142578125 6.796875 0.2607421875 1.5263671875
map_2 45 0 5 5 5 1 1 0.003186333 0.000261792 0.0032025248 0.0002624336 0.003183 0.000261 0.0031998 0.0002614 16819 1260 4522 715 155270 222927 286 127791 212609 1260 30.080078125 3.4912109375 0.28125 1.412109375
map_3 45 1 5 5 5 1 1 0.002095584 0.002148708 0.0021099836 0.0021489416 0.002095 0.002146 0.0021076 0.002147 11299 4701 1877 1820 86824 2414732 96 827355 137559 4701 17.1650390625 8.88671875 0.228515625 1.2919921875
map_4 45 0 5 5 5 1 1 0.003284166 0.004006416 0.0032926246 0.0040158914 0.003282 0.004005 0.0032908 0.0040142 17446 8272 2534 2139 164144 4952209 6 1143270 214620 8272 20.373046875 10.4443359375 0.3046875 1.67578125
map_5 45 1 5 5 5 1 1 0.003028875 0.001369 0.0030443246 0.0013683082 0.003028 0.001369 0.0030426 0.0013664 16051 15884 3529 1150 214526 1307927 102 330426 173847 15884 25.2314453125 5.615234375 0.29296875 1.5849609375
map_6 45 0 5 5 5 1 1 0.002499625 0.003203292 0.0025161416 0.0032062082 0.002499 0.0032 0.0025142 0.0032034 13167 17703 2667 1707 141023 3744516 35 728029 163872 17702 21.0224609375 8.3349609375 0.2958984375 1.5673828125
map_7 45 1 5 5 5 1 1 0.002148417 0.002938375 0.002165825 0.0029395914 0.002145 0.002935 0.0021644 0.0029364 11368 10645 2133 2113 113541 3194600 113 1115409 138143 10645 18.4150390625 10.3173828125 0.22265625 1.587890625
map_8 45 0 5 5 5 1 1 0.002389791 0.014618625 0.0023774 0.0146305916 0.00239 0.014615 0.0023738 0.0146268 11355 40673 1385 4626 127225 16903618 29 5349952 129242 40673 14.7626953125 22.587890625 0.240234375 2.0712890625
map_9 45 1 5 5 5 1 1 0.004721084 0.000990042 0.0047564668 0.0009931838 0.004716 0.000989 0.0047504 0.0009908 22771 5864 3843 916 218370 994426 366 209677 274450 5864 26.7646484375 4.47265625 0.2255859375 1.4443359375
map_0 46 1 5 5 5 1 1 0.003508125 0.001428792 0.0035200168 0.0014273832 0.003508 0.001426 0.0035166 0.0014252 16804 3764 4070 1443 160485 1376644 343 520509 181599 3764 27.873046875 7.0458984375 0.3046875 1.5791015625
map_1 46 0 5 5 5 1 1 0.002668542 0.000412833 0.0026811002 0.0004144912 0.002665 0.000409 0.002677 0.000413 12286 1583 1679 772 163023 341394 37 148974 153876 1583 16.1982421875 3.76953125 0.2314453125 1.447265625
map_2 46 1 5 5 5 1 1 0.002267 0.001460208 0.0022834414 0.0014595666 0.002267 0.001457 0.0022812 0.0014586 11100 5158 1791 1375 90995 1412660 83 472317 130116 5158 16.7451171875 6.7138671875 0.216796875 1.564453125
map_3 46 0 5 5 5 1 1 0.003472291 0.001924666 0.003470325 0.0019327082 0.003472 0.001918 0.0034692 0.0019294 16681 3876 3771 1712 153628 1858851 369 732007 199850 3876 26.4130859375 8.359375 0.298828125 1.259765625
map_4 46 1 5 5 5 1 1 0.002643333 0.003258583 0.0026475162 0.0032595918 0.002642 0.003257 0.0026454 0.0032562 12558 6606 1506 2212 113781 3199967 52 1222239 155360 6606 15.353515625 10.80078125 0.2548828125 1.517578125
map_5 46 0 5 5 5 1 1 0.003122 0.003141709 0.0031237168 0.0031497918 0.003121 0.003132 0.0031216 0.003137 14539 53852 1584 799 199455 2617139 217 159589 146745 53852 15.734375 3.9013671875 0.2021484375 1.482421875
map_6 46 1 5 5 5 1 1 0.002570583 0.000921541 0.0025685084 0.00092165 0.002568 0.000921 0.0025658 0.0009214 11993 2620 2687 1138 127829 881294 58 323389 152376 2620 21.1201171875 5.556640625 0.2548828125 1.330078125
map_7 46 0 5 5 5 1 1 0.003381083 0.005110084 0.0033880582 0.0051059586 0.003378 0.005107 0.0033856 0.005102 16143 8550 4149 2654 162573 5323228 477 1760663 191158 8549 28.2587890625 12.958984375 0.234375 1.7666015625
map_8 46 1 5 5 5 1 1 0.002177 0.006942333 0.0021671752 0.0069378752 0.002177 0.006935 0.002167 0.0069346 10297 8578 1793 3068 108265 7406886 54 2353022 126914 8578 16.7548828125 14.98046875 0.2255859375 1.6962890625
map_9 46 0 5 5 5 1 1 0.003343875 0.000594916 0.003346175 0.0005970084 0.003341 0.000593 0.0033454 0.0005964 16033 4545 1860 820 155798 508590 28 168025 193481 4545 17.08203125 4.00390625 0.2548828125 1.4443359375
map_0 47 0 5 5 5 1 1 0.003587458 0.002032459 0.0035906418 0.0020322834 0.003586 0.002029 0.0035884 0.00203 16816 4927 3205 1588 170440 2084772 95 630054 196597 4927 23.6494140625 7.75390625 0.2841796875 1.740234375
map_1 47 1 5 5 5 1 1 0.002694541 0.000739125 0.002691233 0.0007387002 0.002691 0.000738 0.0026868 0.0007376 12390 2335 1534 1066 156984 664000 85 283876 167758 2335 15.490234375 5.205078125 0.19921875 1.5087890625
map_2 47 0 5 5 5 1 1 0.00363975 0.002315125 0.0036456834 0.0023167836 0.00364 0.002315 0.0036444 0.0023148 19278 74112 2687 806 207174 1479903 256 162336 238493 74112 21.1201171875 3.935546875 0.2490234375 1.4326171875
map_3 47 1 5 5 5 1 1 0.0028575 0.000543291 0.0028613168 0.0005433584 0.002857 0.000543 0.0028592 0.0005432 15009 2164 3557 948 133459 543349 418 224626 192589 2164 25.3681640625 4.62890625 0.2431640625 1.458984375
map_4 47 0 5 5 5 1 1 0.0031015 0.001483417 0.0031290082 0.0014832918 0.003101 0.001481 0.0031286 0.0014824 16814 4544 3668 1477 135822 1631167 426 545127 196527 4544 25.91015625 7.2119140625 0.28125 1.4619140625
map_5 47 1 5 5 5 1 1 0.003039791 0.002459 0.0030604416 0.0024574082 0.00304 0.002457 0.0030588 0.0024552 15926 9296 2446 1977 204921 2607429 285 976296 182832 9296 19.943359375 9.6533203125 0.2578125 1.4765625
map_6 47 0 5 5 5 1 1 0.002595291 0.000588125 0.0026103998 0.0005880168 0.002593 0.000586 0.002609 0.0005864 13658 1942 3091 1090 137493 540542 120 296766 160323 1942 23.0927734375 5.322265625 0.216796875 1.39453125
map_7 47 1 5 5 5 1 1 0.002867292 0.0010445 0.0028713418 0.001049775 0.002864 0.001043 0.0028698 0.001048 14724 3089 2545 1237 210666 1139886 225 382386 150928 3089 20.4267578125 6.0400390625 0.228515625 1.5322265625
map_8 47 0 5 5 5 1 1 0.002535417 0.003856708 0.0025440916 0.0038586498 0.002535 0.003854 0.0025424 0.0038556 13324 78293 1558 1549 158106 3348311 56 599389 151605 78293 15.607421875 7.5634765625 0.2548828125 1.7197265625
map_9 47 1 5 5 5 1 1 0.00349775 0.000971208 0.0035145418 0.0009726748 0.003496 0.000971 0.0035128 0.0009718 18467 2710 3886 1272 195687 1017019 250 404107 216395 2710 26.974609375 6.2109375 0.22265625 1.3828125
map_0 48 1 5 5 5 1 1 0.002897375 0.0058545 0.00291295 0.0058606416 0.002894 0.005854 0.0029112 0.0058588 15187 9222 2178 2991 160331 6809671 68 2236217 188769 9221 18.634765625 14.6044921875 0.2373046875 1.65234375
map_1 48 0 5 5 5 1 1 0.003348458 0.00610275 0.0033462248 0.0061049918 0.003348 0.006099 0.0033452 0.006102 17545 9896 2673 3011 187259 7162693 346 2265466 210632 9896 21.0517578125 14.7021484375 0.234375 1.5732421875
map_2 48 1 5 5 5 1 1 0.003112875 0.004665542 0.0031182 0.0046725666 0.00311 0.004665 0.0031168 0.0046718 16461 109744 2540 1557 163793 3571659 81 605893 173056 109744 20.40234375 7.6025390625 0.2109375 1.6318359375
map_3 48 0 5 5 5 1 1 0.001966875 0.004115291 0.0019691666 0.004119683 0.001965 0.004114 0.0019672 0.0041174 10537 8391 1273 2414 75508 4819903 120 1456746 130514 8391 14.2158203125 11.787109375 0.17578125 1.822265625
map_4 48 1 5 5 5 1 1 0.003272875 0.001030916 0.0032725252 0.0010340248 0.003269 0.001029 0.0032688 0.0010318 17097 3574 3567 1250 133879 1091154 162 390503 226687 3574 25.4169921875 6.103515625 0.275390625 1.5908203125
map_5 48 0 5 5 5 1 1 0.003325959 0.007818208 0.0033388836 0.0078178996 0.003325 0.007815 0.0033372 0.0078156 17808 10872 3544 3322 210179 9381476 173 2758359 193051 10871 25.3046875 16.220703125 0.263671875 1.5322265625
map_6 48 1 5 5 5 1 1 0.00280175 0.000234875 0.0028230418 0.0002353668 0.002799 0.000235 0.0028216 0.0002348 15266 1156 3817 682 114526 196951 91 116278 195155 1156 26.6376953125 3.330078125 0.2080078125 1.3916015625
map_7 48 0 5 5 5 1 1 0.002226584 0.001730792 0.0022299338 0.001730292 0.002224 0.001728 0.0022276 0.0017276 11592 11460 1999 1042 116968 2051467 62 271314 145277 11459 17.7607421875 5.087890625 0.2255859375 1.5439453125
map_8 48 1 5 5 5 1 1 0.003518625 0.003436666 0.0035275332 0.0034233746 0.003518 0.003434 0.0035256 0.0034208 18197 106822 2552 804 272497 2072860 9 161415 211790 106822 20.4609375 3.92578125 0.24609375 1.3447265625
map_9 48 0 5 5 5 1 1 0.002302583 0.00149725 0.0023148334 0.0014984834 0.0023 0.001497 0.0023128 0.001497 12296 6370 2041 1370 116008 1664416 42 468825 140218 6370 17.9658203125 6.689453125 0.26953125 1.48828125
map_0 49 0 5 5 5 1 1 0.002967875 0.000283 0.0029843748 0.0002846332 0.002967 0.000283 0.0029816 0.0002842 15535 1138 2723 797 178396 234642 49 158687 195320 1138 21.2958984375 3.8916015625 0.2666015625 1.400390625
map_1 49 1 5 5 5 1 1 0.001980542 0.002163917 0.0019832336 0.0021655748 0.00198 0.002164 0.001981 0.0021636 10128 5489 1096 1831 145792 2397026 101 837332 118893 5489 13.3515625 8.9404296875 0.2021484375 1.318359375
map_2 49 0 5 5 5 1 1 0.001960667 0.002091125 0.0019637336 0.0020917914 0.00196 0.002091 0.0019616 0.0020898 10382 13068 1854 903 91320 2654485 83 203851 126365 13068 17.052734375 4.4091796875 0.2958984375 1.4765625
map_3 49 1 5 5 5 1 1 0.001891 0.000658333 0.0018968582 0.0006572166 0.001888 0.000655 0.0018944 0.0006556 9796 2070 1223 1112 113697 638710 42 308867 123322 2070 13.9716796875 5.4296875 0.2109375 1.423828125
map_4 49 0 5 5 5 1 1 0.002904208 0.000886166 0.0029207002 0.0008842582 0.002903 0.000884 0.0029172 0.000883 15614 2840 2546 1162 140046 932769 196 337462 180849 2840 20.431640625 5.673828125 0.2109375 1.5849609375
map_5 49 1 5 5 5 1 1 0.00202575 0.003028625 0.0020264836 0.0030313666 0.002022 0.003028 0.0020244 0.0030288 10741 8360 841 1930 107642 3597905 31 930428 114410 8360 12.1064453125 9.423828125 0.19921875 1.611328125
map_6 49 0 5 5 5 1 1 0.002717416 0.001882916 0.0027115998 0.001890358 0.002714 0.001881 0.0027094 0.0018888 14110 11270 3217 1269 147699 2172914 82 402213 179753 11270 23.7080078125 6.1962890625 0.234375 1.44140625
map_7 49 1 5 5 5 1 1 0.002059209 0.000776958 0.0020658086 0.0007765164 0.002059 0.000774 0.002064 0.0007752 10909 2603 2053 1133 99234 790763 10 320742 125256 2603 18.0244140625 5.5322265625 0.2958984375 1.5
map_8 49 0 5 5 5 1 1 0.001978333 0.000603541 0.0019850332 0.0006043 0.001975 0.000603 0.0019826 0.0006028 10352 3217 2174 1009 135790 567540 6 254332 124483 3217 18.615234375 4.9267578125 0.24609375 1.51171875
map_9 49 1 5 5 5 1 1 0.00303325 0.00175725 0.0030516586 0.001757917 0.003029 0.001757 0.0030486 0.0017574 15727 3766 2736 1882 203675 1764205 194 884782 194574 3766 21.359375 9.189453125 0.298828125 1.4853515625
map_0 50 1 5 5 5 1 1 0.002556417 0.001626167 0.0025665584 0.0016247084 0.002553 0.001623 0.0025638 0.001623 13341 6305 1598 1412 184375 1834223 110 498302 139419 6305 15.802734375 6.89453125 0.251953125 1.81640625
map_1 50 0 5 5 5 1 1 0.003519542 0.000411458 0.0035228084 0.0004118668 0.003517 0.000412 0.0035202 0.0004118 18006 1619 3521 856 294019 392114 193 183138 216806 1619 25.1923828125 4.1796875 0.2490234375 1.4150390625
map_2 50 1 5 5 5 1 1 0.00280325 0.005433334 0.0028190084 0.005440267 0.002803 0.005431 0.0028172 0.005438 15011 7594 2433 3018 144157 6161014 102 2276125 173255 7594 19.8798828125 14.736328125 0.2666015625 1.5908203125
map_3 50 0 5 5 5 1 1 0.002751083 0.001079291 0.0027684248 0.001079875 0.00275 0.001079 0.0027654 0.0010786 14729 3288 2585 1231 120961 1200100 406 378444 175624 3288 20.6220703125 6.0107421875 0.275390625 1.4033203125
map_4 50 1 5 5 5 1 1 0.0025415 0.003210625 0.002551133 0.0032189418 0.002541 0.003207 0.0025498 0.0032164 13302 7585 1431 2001 138354 3831688 53 1000713 165443 7585 14.9873046875 9.7705078125 0.205078125 1.6962890625
map_5 50 0 5 5 5 1 1 0.003592958 0.024223542 0.0035918664 0.0242502082 0.003589 0.024223 0.0035892 0.024249 18406 21518 1546 6296 262689 28554089 41 9909394 198705 21517 15.548828125 30.7421875 0.2666015625 2.4140625
map_6 50 1 5 5 5 1 1 0.003040208 0.007872709 0.0030529166 0.007877142 0.003039 0.00787 0.0030516 0.007875 16339 10416 4366 3531 143611 9161485 686 3116250 196054 10416 29.318359375 17.2412109375 0.2138671875 1.869140625
map_7 50 0 5 5 5 1 1 0.002478583 0.000471792 0.0024909916 0.0004755916 0.002478 0.000469 0.0024888 0.0004744 13156 3162 2956 888 113474 417909 84 197042 158896 3162 22.43359375 4.3359375 0.2783203125 1.4033203125
map_8 50 1 5 5 5 1 1 0.003517208 0.005860042 0.0035167914 0.0058658416 0.003516 0.005858 0.0035142 0.0058634 17784 116235 3902 1994 264071 4837907 388 993774 221309 116235 27.052734375 9.736328125 0.216796875 1.576171875
map_9 50 0 5 5 5 1 1 0.003324917 0.002958375 0.003335425 0.0029654502 0.003322 0.002959 0.0033328 0.0029646 17359 5904 2462 2161 187914 3326438 28 1167468 195959 5904 20.021484375 10.5517578125 0.3017578125 1.6552734375
map_0 51 0 5 5 5 1 1 0.003329542 0.000185417 0.0033216416 0.0001847498 0.003328 0.000183 0.0033206 0.0001842 17448 895 2990 624 209770 147262 133 97341 178456 895 22.599609375 3.046875 0.2578125 1.3447265625
map_1 51 1 5 5 5 1 1 0.002706333 0.001151291 0.0027297334 0.0011562916 0.002706 0.001151 0.0027282 0.001156 14598 2999 3082 1437 116414 1182312 256 515774 178079 2999 23.048828125 7.0166015625 0.2607421875 1.400390625
map_2 51 0 5 5 5 1 1 0.002759958 0.000391666 0.002770075 0.0003923498 0.002759 0.000391 0.0027696 0.0003918 14775 1528 2725 888 140475 349749 208 197126 176772 1528 21.3056640625 4.3359375 0.2783203125 1.4443359375
map_3 51 1 5 5 5 1 1 0.002885417 0.002388875 0.002894375 0.0023853166 0.002884 0.002386 0.0028928 0.002383 15479 6484 2527 1670 124558 2831451 494 696685 190336 6484 20.3388671875 8.154296875 0.2314453125 1.4736328125
map_4 51 0 5 5 5 1 1 0.003685125 0.002324625 0.003694042 0.0023251498 0.003682 0.002323 0.003691 0.0023234 19377 5046 4001 1982 169009 2528732 183 981697 248213 5046 27.5361328125 9.677734375 0.31640625 1.482421875
map_5 51 1 5 5 5 1 1 0.003516125 0.005184917 0.0035305666 0.005184675 0.003513 0.005181 0.0035278 0.0051818 18164 26257 3164 1636 267969 6722787 33 669049 203806 26257 23.44921875 7.98828125 0.263671875 1.681640625
map_6 51 0 5 5 5 1 1 0.001802375 0.000896125 0.0018135084 0.0008971166 0.0018 0.000895 0.001811 0.0008958 9422 2710 1176 1216 101336 936224 17 369250 115520 2710 13.7421875 5.9375 0.19921875 1.353515625
map_7 51 1 5 5 5 1 1 0.002919084 0.003109584 0.0029098086 0.0031124088 0.002915 0.003108 0.0029062 0.0031096 14373 25584 2610 2088 179463 3093513 64 1089079 162633 25584 20.744140625 10.1953125 0.2373046875 1.4560546875
map_8 51 0 5 5 5 1 1 0.0035525 0.008210542 0.0035631416 0.0082166666 0.003553 0.00821 0.0035606 0.0082138 18028 12795 2748 3406 317749 9843468 174 2899258 219625 12794 21.41796875 16.630859375 0.2666015625 1.59375
map_9 51 1 5 5 5 1 1 0.002978875 0.00319275 0.0029734582 0.0031936332 0.002977 0.00319 0.0029714 0.0031918 15823 5760 4718 2239 140037 3627184 500 1252507 185047 5760 31.037109375 10.9326171875 0.263671875 1.541015625
map_0 52 1 5 5 5 1 1 0.002271375 0.000927709 0.0022832666 0.0009280168 0.002269 0.000926 0.0022812 0.0009268 12145 3069 2090 1121 92882 1033082 77 314082 139535 3069 18.205078125 5.4736328125 0.2578125 1.44140625
map_1 52 0 5 5 5 1 1 0.002702083 0.001712208 0.0027037166 0.0017117248 0.002699 0.001711 0.0027014 0.0017106 14186 4109 1706 1648 147111 1874803 326 678310 166081 4109 16.330078125 8.046875 0.234375 1.4677734375
map_2 52 1 5 5 5 1 1 0.003295792 0.000265458 0.0033003834 0.0002655248 0.003296 0.000265 0.003297 0.000265 17027 1239 3089 731 158803 225848 187 133559 204435 1239 23.0830078125 3.5693359375 0.26953125 1.4384765625
map_3 52 0 5 5 5 1 1 0.003323125 0.000813959 0.0033305668 0.0008144668 0.00332 0.000814 0.0033282 0.0008134 17810 2543 4464 1176 172662 832316 315 345347 194658 2543 29.796875 5.7421875 0.3076171875 1.3740234375
map_4 52 1 5 5 5 1 1 0.003781584 0.002739167 0.0038486002 0.0027377752 0.003781 0.002736 0.0038462 0.0027352 19827 5243 4286 2165 189906 2995261 441 1171091 254046 5243 28.927734375 10.5712890625 0.2373046875 1.69921875
map_5 52 0 5 5 5 1 1 0.002812708 0.0060075 0.0028202332 0.00600495 0.002811 0.006005 0.0028184 0.006002 14838 38009 1596 2754 222992 6456477 145 1894907 160969 38008 15.79296875 13.447265625 0.205078125 1.53515625
map_6 52 1 5 5 5 1 1 0.00172175 0.002159917 0.001722325 0.0021624668 0.001719 0.002158 0.0017208 0.0021602 8892 9308 1117 1308 110176 2666576 62 427577 109025 9308 13.4541015625 6.38671875 0.2080078125 1.6611328125
map_7 52 0 5 5 5 1 1 0.002610167 0.000727542 0.0026175666 0.0007278586 0.00261 0.000726 0.002616 0.0007268 13876 2321 2526 1134 134312 727263 175 321289 168137 2321 20.333984375 5.537109375 0.287109375 1.4560546875
map_8 52 1 5 5 5 1 1 0.002822583 0.01027225 0.00282065 0.0102790916 0.002819 0.010268 0.0028184 0.0102748 14241 315632 3013 1195 175412 6691965 94 357005 181548 315632 22.7119140625 5.8349609375 0.240234375 1.53515625
map_9 52 0 5 5 5 1 1 0.003740291 0.000714708 0.003767058 0.0007155916 0.00374 0.000715 0.0037646 0.0007146 19759 5997 4536 906 185302 707915 238 205111 242144 5997 30.1484375 4.423828125 0.251953125 1.48828125
