# map seed success status cycles time_ms start_nodes goal_nodes path_nodes
# status: 0=PASS 1=TIMEOUT 2=X_PROPAGATION 3=PATH_CHECK_FAIL
0 42 1 0 273099 0.901226700 193 327 69
0 43 1 0 1081561 3.569151300 701 6140 120
0 44 1 0 572906 1.890589800 732 604 78
0 45 1 0 320530 1.057749000 241 203 61
0 46 1 0 579606 1.912699800 620 1415 88
0 47 1 0 477490 1.575717000 545 765 81
0 48 1 0 219354 0.723868200 147 684 72
0 49 1 0 211186 0.696913800 124 418 72
0 50 1 0 465540 1.536282000 602 1907 79
0 51 1 0 544465 1.796734500 1203 2240 86
0 52 1 0 376475 1.242367500 203 487 63
0 53 1 0 576427 1.902209100 579 3170 94
0 54 1 0 398909 1.316399700 342 305 68
0 55 1 0 317847 1.048895100 398 276 67
0 56 1 0 567467 1.872641100 630 1550 71
0 57 1 0 414819 1.368902700 430 706 68
0 58 1 0 891512 2.941989600 1272 2885 82
0 59 1 0 801801 2.645943300 836 1483 97
0 60 1 0 348800 1.151040000 321 367 72
0 61 1 0 1385207 4.571183100 723 10666 102
0 62 1 0 460432 1.519425600 459 670 81
0 63 1 0 433753 1.431384900 399 1045 66
0 64 1 0 658726 2.173795800 480 3712 73
0 65 1 0 468163 1.544937900 438 775 78
0 66 1 0 535210 1.766193000 628 925 76
0 67 1 0 318185 1.050010500 229 708 65
0 68 1 0 1057901 3.491073300 998 3180 102
0 69 1 0 424663 1.401387900 564 461 84
0 70 1 0 1165637 3.846602100 124 6658 77
0 71 1 0 505693 1.668786900 314 784 69
0 72 1 0 574568 1.896074400 514 1429 76
0 73 1 0 723273 2.386800900 1222 2978 100
0 74 1 0 675152 2.228001600 882 1097 81
0 75 1 0 479967 1.583891100 421 1653 75
0 76 1 0 354746 1.170661800 273 1068 70
0 77 1 0 433450 1.430385000 572 1451 72
0 78 1 0 495454 1.634998200 505 1358 76
0 79 1 0 611146 2.016781800 487 766 87
0 80 1 0 440443 1.453461900 356 1977 84
0 81 1 0 318688 1.051670400 202 869 64
0 82 1 0 686989 2.267063700 1170 1340 82
0 83 1 0 537790 1.774707000 649 1124 92
0 84 1 0 358668 1.183604400 298 204 77
0 85 1 0 595161 1.964031300 817 676 80
0 86 1 0 542939 1.791698700 720 704 77
0 87 1 0 391702 1.292616600 308 723 63
0 88 1 0 1180381 3.895257300 428 9078 94
0 89 1 0 583982 1.927140600 371 2402 91
0 90 1 0 728062 2.402604600 93 3725 93
0 91 1 0 492190 1.624227000 756 707 68
1 42 1 0 300228 0.990752400 532 236 63
1 43 1 0 271639 0.896408700 220 420 66
1 44 1 0 600765 1.982524500 1504 1367 92
1 45 1 0 500009 1.650029700 708 1145 78
1 46 1 0 382731 1.263012300 530 399 83
1 47 1 0 296274 0.977704200 356 235 69
1 48 1 0 565453 1.865994900 1769 1403 104
1 49 1 0 407721 1.345479300 680 949 65
1 50 1 0 800730 2.642409000 3022 228 82
1 51 1 0 371700 1.226610000 432 397 76
1 52 1 0 457110 1.508463000 751 479 70
1 53 1 0 391917 1.293326100 448 669 68
1 54 1 0 673531 2.222652300 1463 1248 85
1 55 1 0 342085 1.128880500 505 300 71
1 56 1 0 602131 1.987032300 1426 1389 75
1 57 1 0 642202 2.119266600 1813 1046 94
1 58 1 0 359783 1.187283900 716 480 68
1 59 1 0 522500 1.724250000 1022 443 76
1 60 1 0 677676 2.236330800 1577 1513 94
1 61 1 0 387502 1.278756600 492 615 68
1 62 1 0 260792 0.860613600 395 207 69
1 63 1 0 467002 1.541106600 856 1355 83
1 64 1 0 260691 0.860280300 330 333 67
1 65 1 0 319594 1.054660200 353 213 73
1 66 1 0 632444 2.087065200 1275 1843 120
1 67 1 0 468126 1.544815800 622 687 69
1 68 1 0 431488 1.423910400 818 883 97
1 69 1 0 1580041 5.214135300 11616 58 82
1 70 1 0 589369 1.944917700 1174 1379 104
1 71 1 0 649793 2.144316900 1597 1110 89
1 72 1 0 494610 1.632213000 670 900 73
1 73 1 0 445149 1.468991700 627 614 86
1 74 1 0 409290 1.350657000 1130 712 64
1 75 1 0 434786 1.434793800 890 226 74
1 76 1 0 360478 1.189577400 545 564 75
1 77 1 0 422331 1.393692300 386 405 74
1 78 1 0 582249 1.921421700 1264 813 75
1 79 1 0 558212 1.842099600 1077 995 74
1 80 1 0 414058 1.366391400 869 523 75
1 81 1 0 778567 2.569271100 2581 1630 108
1 82 1 0 678071 2.237634300 1494 837 105
1 83 1 0 314068 1.036424400 457 338 70
1 84 1 0 415881 1.372407300 697 671 68
1 85 1 0 893835 2.949655500 5032 95 92
1 86 1 0 309089 1.019993700 536 248 81
1 87 1 0 552587 1.823537100 1890 1459 83
1 88 1 0 467027 1.541189100 520 684 82
1 89 1 0 630940 2.082102000 1240 760 89
1 90 1 0 423861 1.398741300 536 980 79
1 91 1 0 557816 1.840792800 1074 1109 89
